x,y,Floor,Room #,Teacher
8,18,1,null,
8,19,1,null,
8,20,1,null,
8,21,1,null,
8,22,1,null,
8,23,1,null,
8,24,1,null,
8,25,1,null,
8,26,1,null,
8,27,1,null,
8,28,1,null,
8,29,1,null,
8,30,1,null,
8,31,1,null,
8,32,1,null,
8,33,1,null,
8,34,1,null,
8,35,1,null,
8,36,1,null,
8,37,1,null,
9,0,1,null,
9,1,1,null,
9,2,1,null,
9,3,1,null,
9,4,1,null,
9,5,1,null,
9,6,1,North Office,
9,7,1,null,
9,8,1,Hall,
9,9,1,302,Dowler/VanDev
9,10,1,null,
9,11,1,null,
9,12,1,304/306,Black/Crabtree/Schibi/Rush
9,13,1,null,
9,14,1,Hall,
9,15,1,null,
9,16,1,308,Leonard/Rehkow
9,17,1,310,Thaller
9,18,1,312,Alonzo
9,19,1,Hall,
9,20,1,314,Bertrand
9,21,1,null,
9,22,1,316,Morrow
9,23,1,null,
9,24,1,318/320,Esch/Strait
9,25,1,null,
9,26,1,null,
9,27,1,null,
9,28,1,null,
9,29,1,null,
9,30,1,null,
9,31,1,null,
9,32,1,null,
9,33,1,null,
9,34,1,null,
9,35,1,null,
9,36,1,null,
9,37,1,null,
10,0,1,null,
10,1,1,Hall,
10,2,1,Hall,
10,3,1,Hall,
10,4,1,Hall,
10,5,1,Hall,
10,6,1,Hall,
10,7,1,Hall,
10,8,1,Intersection,
10,9,1,Hall,
10,10,1,301,Martin
10,11,1,Hall,
10,12,1,303,Baker
10,13,1,Hall,
10,14,1,Intersection,
10,15,1,Hall,
10,16,1,Hall,
10,17,1,309,Schmelzle
10,18,1,Hall,
10,19,1,Intersection,
10,20,1,Hall,
10,21,1,Hall,
10,22,1,317,Sheridan
10,23,1,Hall,
10,24,1,319,Goebel
10,25,1,321,Montgomery
10,26,1,Exit,
10,27,1,null,
10,28,1,null,
10,29,1,null,
10,30,1,null,
10,31,1,null,
10,32,1,null,
10,33,1,null,
10,34,1,null,
10,35,1,null,
10,36,1,null,
10,37,1,null,
11,0,1,null,
11,1,1,null,
11,2,1,null,
11,3,1,null,
11,4,1,null,
11,5,1,null,
11,6,1,null,
11,7,1,null,
11,8,1,Hall,
11,9,1,null,
11,10,1,null,
11,11,1,null,
11,12,1,null,
11,13,1,null,
11,14,1,Hall,
11,15,1,null,
11,16,1,null,
11,17,1,null,
11,18,1,null,
11,19,1,Hall,
11,20,1,null,
11,21,1,null,
11,22,1,null,
11,23,1,null,
11,24,1,null,
11,25,1,null,
11,26,1,null,
11,27,1,null,
11,28,1,null,
11,29,1,null,
11,30,1,null,
11,31,1,null,
11,32,1,null,
11,33,1,null,
11,34,1,null,
11,35,1,null,
11,36,1,null,
11,37,1,null,
12,0,1,null,
12,1,1,null,
12,2,1,null,
12,3,1,null,
12,4,1,null,
12,5,1,null,
12,6,1,null,
12,7,1,null,
12,8,1,Hall,
12,9,1,null,
12,10,1,null,
12,11,1,null,
12,12,1,null,
12,13,1,null,
12,14,1,404,Kimsey/Malick
12,15,1,null,
12,16,1,null,
12,17,1,null,
12,18,1,null,
12,19,1,603,Marshall
12,20,1,null,
12,21,1,null,
12,22,1,null,
12,23,1,null,
12,24,1,null,
12,25,1,null,
12,26,1,null,
12,27,1,null,
12,28,1,null,
12,29,1,null,
12,30,1,null,
12,31,1,null,
12,32,1,null,
12,33,1,null,
12,34,1,null,
12,35,1,null,
12,36,1,null,
12,37,1,null,
13,0,1,null,
13,1,1,null,
13,2,1,null,
13,3,1,null,
13,4,1,null,
13,5,1,null,
13,6,1,null,
13,7,1,null,
13,8,1,Hall,
13,9,1,null,
13,10,1,null,
13,11,1,null,
13,12,1,null,
13,13,1,null,
13,14,1,406,Wisner
13,15,1,null,
13,16,1,null,
13,17,1,null,
13,18,1,null,
13,19,1,Intersection,
13,20,1,516,Ceule
13,21,1,Hall,
13,22,1,Hall,
13,23,1,Hall,
13,24,1,518,McKidney
13,25,1,520,McKidney
13,26,1,Exit,
13,27,1,null,
13,28,1,null,
13,29,1,null,
13,30,1,null,
13,31,1,null,
13,32,1,null,
13,33,1,null,
13,34,1,null,
13,35,1,null,
13,36,1,null,
13,37,1,null,
14,0,1,null,
14,1,1,null,
14,2,1,null,
14,3,1,null,
14,4,1,null,
14,5,1,null,
14,6,1,null,
14,7,1,null,
14,8,1,Hall,
14,9,1,null,
14,10,1,null,
14,11,1,null,
14,12,1,null,
14,13,1,null,
14,14,1,Hall,
14,15,1,null,
14,16,1,null,
14,17,1,null,
14,18,1,null,
14,19,1,605,Smith
14,20,1,null,
14,21,1,null,
14,22,1,null,
14,23,1,517,Babusa-Lucas
14,24,1,519,Farrell
14,25,1,null,
14,26,1,null,
14,27,1,null,
14,28,1,null,
14,29,1,null,
14,30,1,null,
14,31,1,null,
14,32,1,null,
14,33,1,null,
14,34,1,null,
14,35,1,null,
14,36,1,null,
14,37,1,null,
15,0,1,null,
15,1,1,null,
15,2,1,null,
15,3,1,null,
15,4,1,null,
15,5,1,null,
15,6,1,null,
15,7,1,null,
15,8,1,Hall,
15,9,1,null,
15,10,1,null,
15,11,1,null,
15,12,1,null,
15,13,1,null,
15,14,1,Hall,
15,15,1,null,
15,16,1,null,
15,17,1,null,
15,18,1,null,
15,19,1,607,Ray
15,20,1,null,
15,21,1,null,
15,22,1,null,
15,23,1,null,
15,24,1,null,
15,25,1,null,
15,26,1,null,
15,27,1,null,
15,28,1,null,
15,29,1,null,
15,30,1,null,
15,31,1,null,
15,32,1,null,
15,33,1,null,
15,34,1,null,
15,35,1,null,
15,36,1,null,
15,37,1,null,
16,0,1,null,
16,1,1,null,
16,2,1,null,
16,3,1,null,
16,4,1,null,
16,5,1,null,
16,6,1,null,
16,7,1,null,
16,8,1,Lecture Hall,
16,9,1,null,
16,10,1,null,
16,11,1,null,
16,12,1,null,
16,13,1,null,
16,14,1,408/410,Gran/Messick
16,15,1,null,
16,16,1,null,
16,17,1,null,
16,18,1,null,
16,19,1,Hall,
16,20,1,null,
16,21,1,null,
16,22,1,null,
16,23,1,null,
16,24,1,null,
16,25,1,null,
16,26,1,null,
16,27,1,null,
16,28,1,null,
16,29,1,null,
16,30,1,null,
16,31,1,null,
16,32,1,null,
16,33,1,null,
16,34,1,null,
16,35,1,null,
16,36,1,null,
16,37,1,null,
17,0,1,null,
17,1,1,null,
17,2,1,null,
17,3,1,null,
17,4,1,null,
17,5,1,null,
17,6,1,null,
17,7,1,null,
17,8,1,Hall,
17,9,1,null,
17,10,1,null,
17,11,1,null,
17,12,1,null,
17,13,1,null,
17,14,1,Hall,
17,15,1,null,
17,16,1,null,
17,17,1,null,
17,18,1,null,
17,19,1,Hall,
17,20,1,null,
17,21,1,null,
17,22,1,null,
17,23,1,null,
17,24,1,null,
17,25,1,null,
17,26,1,null,
17,27,1,null,
17,28,1,null,
17,29,1,null,
17,30,1,null,
17,31,1,null,
17,32,1,null,
17,33,1,null,
17,34,1,null,
17,35,1,null,
17,36,1,null,
17,37,1,null,
18,0,1,null,
18,1,1,null,
18,2,1,null,
18,3,1,null,
18,4,1,null,
18,5,1,null,
18,6,1,null,
18,7,1,null,
18,8,1,Hall,
18,9,1,null,
18,10,1,null,
18,11,1,null,
18,12,1,null,
18,13,1,null,
18,14,1,Small Gym,
18,15,1,null,
18,16,1,null,
18,17,1,null,
18,18,1,null,
18,19,1,609,Gran
18,20,1,null,
